Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total_for_5_years
Uganda,,,,,,,,,,,,,,,,,,,,325.7,306.1,318.6,346.8,408.4,1705.5
UK,,,,,,,,,,,,,,,,,,,,59182.9,53862.2,48118.9,46433.3,49997.2,257594.5
Ukraine,,,,,,,,,,,,,,,,,,,,4033.3,3616.9,3423.3,3647.6,4750.2,19471.3
Uruguay,,,,,,,,,,,,,,,,,,,,1034.5,969.9,988.2,1165.7,1168.1,5326.5
USA,,,,,,,,,,,,,,,,,,,,609914.0,596104.6,600106.4,605802.9,648798.3,3060726.3
Uzbekistan,,,,,250.1,115.4,59.8,45.9,54.1,,,,,,,,,,,,,,,,525.3
Venezuela,,,,,,,,,,,,,,,,,,,6199.7,1554.7,320.5,218.2,464.8,,8757.9
Viet Nam,,,,,,,,,,,,,,,,,,,,4255.7,4562.6,5017.4,5073.9,5500.0,24409.6
Yemen,,,,,,,,,,,,,,,,1448.2,1612.3,1618.8,1648.8,1714.8,,,,,8042.8
Zambia,,,,,,,,,,,,,,,,,,,,443.6,372.4,299.5,339.7,378.0,1833.2
Zimbabwe,,,,,,,,,,,,,,,,,,,,368.1,376.7,358.1,340.5,420.4,1863.7
